t,Mig1_n,HXK1,SUC2
0,2.6498595802631577,1.5770178463157896,4.043530262333333
10,2.665405489894737,1.5731045115789473,3.7052365033333334
20,2.362430769473684,1.5297440905263158,3.6180476796666667
30,2.2872984712105264,1.5154288257894737,3.778025780666667
40,2.304968651210526,1.5261256511764705,4.346716321666666
50,2.3552507080526315,1.527805745263158,5.256733897
60,2.4036151266842105,1.541033672631579,6.169819645333333
70,2.283692194157895,1.5298257610526316,6.999510672333333
80,2.2418245441578946,1.5789492368421052,7.553851721666667
90,2.299937087263158,1.5735500563157896,7.833102891666667
100,2.3122388616315788,1.6010072294736841,8.005804728
110,2.311807076631579,1.6447669263157894,8.102670962333333
120,2.3288602661052633,1.676000914736842,8.15995833
130,2.388391641105263,1.7453209042105262,8.124582297
140,2.403829002631579,1.7967416136842105,8.169935623666667
150,2.3938623103157894,1.80850672,8.152066126
160,2.367505137631579,1.8167797631578948,8.007638787666666
170,2.4048996506315787,1.8509191178947368,7.776139415666667
180,2.387074658789474,1.8304504410526317,7.600100852333333
190,2.4052459628947367,1.8841043636842105,7.457793109
200,2.4140709003157896,1.8857758731578946,7.300166244333333
210,2.3252192532105265,1.925482252631579,7.1670897306666665
220,2.169456801526316,1.8311267857894737,7.102543940666666
230,2.186905001789474,1.8396337031578949,7.113136137
240,2.2150519804210527,1.8189794389473684,6.9720357570000004
250,2.3553364003157893,1.8377917026315789,6.766971901333333
260,2.356685487789474,1.8482095363157893,6.557225308333333
270,2.596895076,1.8114002531578948,6.271349926
280,2.504200792,1.824152712,6.032549140666666
290,2.444272816625,NaN,5.741819637333333
300,2.3813154585,NaN,5.494631029
310,NaN,NaN,5.312230856333334
320,NaN,NaN,5.0583291426666666
330,NaN,NaN,4.84267548
340,NaN,NaN,4.702269101333333
350,NaN,NaN,4.6316027533333335
360,NaN,NaN,4.559048717333333
370,NaN,NaN,4.511138272666667
380,NaN,NaN,4.4831298083333335
390,NaN,NaN,4.476706931333333
400,NaN,NaN,4.470459181333333
410,NaN,NaN,4.466095592
420,NaN,NaN,4.5095464776666665
430,NaN,NaN,4.532376509
440,NaN,NaN,4.576225613666667
450,NaN,NaN,4.602106876666666
460,NaN,NaN,4.673931926333333
470,NaN,NaN,4.723131138
480,NaN,NaN,4.767135127931034
